INN;Name;site1;site2;site_list_org;orgname_keywords;orgname_keywords2;addr_keywords;site1_rates;site2_rates;site3_rates;site1_tot;site2_tot;site3_tot;site1_adr;site2_adr;site3_adr;site1_ul;site2_ul;site3_ul
3663050467;"ПАО ""ТНС энерго Воронеж""";voronezh.tns-e.ru;voronezh.tns-e.ru;www.car-don.ru;['ТНС', 'ЭНЕРГО', 'ВОРОНЕЖ'];[];['ВОРОНЕЖСКАЯ', 'ВОРОНЕЖ', 'МЕРКУЛОВА'];[75, 0, 19, 0];[];[2, 0, 2, 0];94;0;4;19;0;2;0;0;0
4822001244;"ОАО ""ЛЭСК""";lesk.ru;;http://lesk.ru;['ЛЭСК'];['ЛИПЕЦКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];['ЛИПЕЦКАЯ', 'ЛИПЕЦК', 'ПОБЕДЫ'];[];[];[];0;0;0;0;0;0;0;0;0
3017041554;"ПАО ""Астраханская энергосбытовая компания""";astsbyt.ru;astsbyt.ru;www.astsbyt.ru;['АСТРАХАНСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];[];['АСТРАХАНЬ', 'НАБЕРЕЖНАЯ'];[10, 0, 0, 0];[];[10, 0, 0, 0];10;0;10;0;0;0;0;0;0
2128700232;"АО ""Чувашская энергосбытовая компания""";sme.ch-sk.ru;company.ch-sk.ru;www.ch-sk.ru;['ЧУВАШСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];[];['ЧЕБОКСАРЫ'];[32, 0, 2, 2];[32, 0, 2, 2];[30, 0, 2, 2];36;36;34;2;2;2;2;2;2
6229049014;"ПАО ""РЭСК""";resk.ru;resk.ru;0;['РЭСК'];['РЯЗАНСКАЯ', 'ЭНЕРГЕТИЧЕСКАЯ', 'СБЫТОВАЯ'];['РЯЗАНЬ', 'МОГЭС'];[2, 24, 2, 0];[];[];28;0;0;2;0;0;0;0;0
3702065117;"ОАО ""Ивэнергосбыт""";ivenergosbyt.energoportal.ru;;0;['ИВЭНЕРГОСБЫТ'];[];['ИВАНОВО', 'КАЛИНИНА'];[14, 0, 3, 1];[];[];18;0;0;3;0;0;1;0;0
1001012875;"АО ""ТНС энерго Карелия""";karelia.tns-e.ru;karelia.tns-e.ru;www.ruses.ru;['ТНС', 'ЭНЕРГО', 'КАРЕЛИЯ'];[];['ПЕТРОЗАВОДСК', 'КИРОВА'];[70, 0, 0, 0];[];[];70;0;0;0;0;0;0;0;0
6661105959;"ЗАО ""ЭПК""";eic.ru;eic.ru;http://eic.ru;['ЭПК'];['ЭНЕРГОПРОМЫШЛЕННАЯ'];['ЕКАТЕРИНБУРГ', 'ФРУНЗЕ'];[2, 5, 3, 1];[];[2, 5, 3, 1];11;0;11;3;0;3;1;0;1
6829010210;"ПАО ""Тамбовская энергосбытовая компания""";tesk.su;tesk.su;www.tesk.tmb.ru;['ТАМБОВСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];[];['ТАМБОВ', 'МОРШАНСКОЕ'];[17, 0, 11, 0];[];[17, 0, 11, 0];28;0;28;11;0;11;0;0;0
1215099739;"ПАО ""ТНС энерго Марий Эл""";mari-el.tns-e.ru;mari-el.tns-e.ru;http://marienergosbyt.ru;['ТНС', 'ЭНЕРГО', 'МАРИЙ'];[];['ЙОШКАР-ОЛА', 'ПАНФИЛОВА'];[74, 0, 0, 0];[];[74, 0, 0, 0];74;0;74;0;0;0;0;0;0
1326181763;"ЗАО ""ЭСКОМ""";escom.pro;escom.pro;#Н/Д;['ЭСКОМ'];[];[];[27, 0, 0, 0];[];[];27;0;0;0;0;0;0;0;0
6168002922;"ПАО ""ТНС энерго Ростов-на-Дону""";rostov.tns-e.ru;rostov.tns-e.ru;maccase.ru;['ТНС', 'ЭНЕРГО', 'РОСТОВ-НА-ДОНУ'];[];['РОСТОВ-НА-ДОНУ', '2-Я'];[81, 0, 13, 0];[];[2, 0, 0, 0];94;0;2;13;0;0;0;0;0
7606052264;"ПАО ""ТНС энерго Ярославль""";yar.tns-e.ru;;www.yrsk.ru;['ТНС', 'ЭНЕРГО', 'ЯРОСЛАВЛЬ'];[];['ЯРОСЛАВЛЬ', 'ЛЕНИНА'];[69, 0, 11, 0];[];[];80;0;0;11;0;0;0;0;0
4401050567;"ПАО ""Костромская сбытовая компания""";k-sc.ru;k-sc.ru;#Н/Д;['КОСТРОМСКАЯ', 'СБЫТОВАЯ'];[];[];[28, 0, 0, 0];[];[];28;0;0;0;0;0;0;0;0
6027084016;"АО ""Псковэнергосбыт""";pskovenergosbit.ru;pskovenergosbit.ru;www.pskovenergosbit.ru;['ПСКОВЭНЕРГОСБЫТ'];[];['ПСКОВ', 'ЗАВОДСКАЯ'];[45, 0, 76, 0];[];[45, 0, 76, 0];121;0;121;76;0;76;0;0;0
7722245108;"ООО ""МЕЧЕЛ-ЭНЕРГО""";mechel-energo.ru;mechel-energo.ru;0;['МЕЧЕЛ-ЭНЕРГО'];[];['МОСКВА', 'КРАСНОАРМЕЙСКАЯ'];[17, 0, 1, 0];[];[];18;0;0;1;0;0;0;0;0
3445071523;"ПАО ""Волгоградэнергосбыт""";energosale34.ru;energosale34.ru;www.energosale34.ru;['ВОЛГОГРАДЭНЕРГОСБЫТ'];[];['ВОЛГОГРАД', 'КОЗЛОВСКАЯ'];[13, 0, 14, 0];[];[13, 0, 14, 0];27;0;27;14;0;14;0;0;0
6901068245;"ОАО ""Тверьэнергосбыт""";tveresk.ru;tveresk.ru;http://atomsbt.ru;['ТВЕРЬЭНЕРГОСБЫТ'];[];['ТВЕРЬ', 'ПЕТЕРБУРГСКОЕ'];[7, 0, 9, 1];[];[];17;0;0;9;0;0;1;0;0
1326192645;"ПАО ""Мордовская энергосбытовая компания""";mesk.ru;mesk.ru;#Н/Д;['МОРДОВСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];[];[];[13, 0, 0, 0];[];[];13;0;0;0;0;0;0;0;0
7451213318;"ПАО ""Челябэнергосбыт""";esbt74.ru;esbt74.ru;www.mrsk-ural.ru;['ЧЕЛЯБЭНЕРГОСБЫТ'];[];['ЧЕЛЯБИНСК', 'РОССИЙСКАЯ'];[6, 0, 1, 0];[];[0, 0, 6, 1];7;0;7;1;0;6;0;0;1
7805060502;"ЗАО ""КировТЭК""";kirovtek.ru;kirovtek.ru;http://kirovtek.ru;['КИРОВТЭК'];[];['САНКТ-ПЕТЕРБУРГ', 'СТАЧЕК'];[4, 0, 5, 2];[];[4, 0, 5, 2];11;0;11;5;0;5;2;0;2
7727232575;"АО ""ЕЭСнК""";eesnk.ru;;0;['ЕЭСНК'];['ЕДИНАЯ', 'ЭНЕРГОСНАБЖАЮЩАЯ'];['МОСКВА', 'БАЛАКЛАВСКИЙ'];[0, 0, 0, 0];[];[];0;0;0;0;0;0;0;0;0
5260148520;"ПАО ""ТНС энерго НН""";nn.tns-e.ru;vk.com;ekdostavka.ru;['ТНС', 'ЭНЕРГО'];['НИЖНИЙ', 'НОВГОРОД'];['НОВГОРОД', 'БЕКЕТОВА'];[44, 7, 4, 0];[0, 0, 0, 0];[0, 12, 7, 0];55;0;19;4;0;7;0;0;0
2901134250;"ПАО ""Архэнергосбыт""";energybase.ru;;www.arsk.ru;['АРХЭНЕРГОСБЫТ'];['АРХАНГЕЛЬСКАЯ', 'СБЫТОВАЯ'];['АРХАНГЕЛЬСК', 'КАНАЛ'];[0, 6, 2, 0];[];[];8;0;0;2;0;0;0;0;0
2626033550;"ПАО ""Ставропольэнергосбыт""";staves.ru;staves.ru;www.staves.ru;['СТАВРОПОЛЬЭНЕРГОСБЫТ'];[];['СТАВРОПОЛЬСКИЙ', 'ПЯТИГОРСК', 'ДЗЕРЖИНСКОГО'];[0, 0, 0, 0];[];[0, 0, 0, 0];0;0;0;0;0;0;0;0;0
5904123809;"ПАО ""Пермэнергосбыт""";permenergosbyt.ru;;авторитет59.рф;['ПЕРМЭНЕРГОСБЫТ'];['ПЕРМСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];['ПЕРМЬ', 'КОМСОМОЛЬСКИЙ'];[14, 0, 1, 0];[];[];15;0;0;1;0;0;0;0;0
7017114680;"ПАО ""Томскэнергосбыт""";ensb.tomsk.ru;ensb.tomsk.ru;applehunter.ru;['ТОМСКЭНЕРГОСБЫТ'];['ТОМСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];['ТОМСК', 'КОТОВСКОГО'];[16, 0, 23, 1];[];[0, 0, 0, 0];40;0;0;23;0;0;1;0;0
7736520080;"АО ""Мосэнергосбыт""";lkkbyt.mosenergosbyt.ru;vk.com;0;['МОСЭНЕРГОСБЫТ'];[];['МОСКВА', 'ВАВИЛОВА'];[4, 0, 0, 0];[0, 0, 0, 0];[];4;0;0;0;0;0;0;0;0
1901067690;"АО ""Хакасэнергосбыт""";khakensb.ru;khakensb.ru;0;['ХАКАСЭНЕРГОСБЫТ'];[];['АБАКАН', 'КРЫЛОВА'];[];[];[];0;0;0;0;0;0;0;0;0
8602067215;"АО ""Газпром энергосбыт Тюмень""";gesbt.ru;;www.tmesk.ru;['ГАЗПРОМ', 'ЭНЕРГОСБЫТ', 'ТЮМЕНЬ'];[];['ТЮМЕНСКАЯ', 'СУРГУТ', 'ГРЭС-2'];[29, 0, 4, 0];[];[29, 0, 4, 0];33;0;33;4;0;4;0;0;0
5612042824;"АО ""ЭнергосбыТ Плюс""";esplus.ru;ekb.esplus.ru;oren.esplus.ru;['ЭНЕРГОСБЫТ', 'ПЛЮС'];[];['ОРЕНБУРГ', 'АКСАКОВА'];[18, 0, 2, 0];[40, 0, 0, 0];[40, 0, 8, 0];20;40;48;2;0;8;0;0;0
541031172;"ПАО ""Дагестанская энергосбытовая компания""";dag-esk.ru;dag-esk.ru;0;['ДАГЕСТАНСКАЯ', 'ЭНЕРГОСБЫТОВАЯ'];[];['МАХАЧКАЛА', 'ДАХАДАЕВА'];[16, 0, 4, 1];[];[];21;0;0;4;0;0;1;0;0
5030040730;"ООО ""ЛУКОЙЛ-ЭНЕРГОСЕРВИС""";eservice.lukoil.ru;eservice.lukoil.ru;0;['ЛУКОЙЛ-ЭНЕРГОСЕРВИС'];[];['МОСКОВСКАЯ', 'НАРО-ФОМИНСК', 'ЕФРЕМОВА'];[7, 0, 1, 0];[];[];8;0;0;1;0;0;0;0;0
6625004271;"ОАО ""ПНТЗ""";pntz.net;chelpipe.ru;www.pntz.ru;['ПНТЗ'];['ПЕРВОУРАЛЬСКИЙ', 'НОВОТРУБНЫЙ'];['СВЕРДЛОВСКАЯ', 'ПЕРВОУРАЛЬСК', 'ТОРГОВАЯ'];[0, 0, 0, 0];[4, 2, 5, 0];[];0;11;0;0;5;0;0;0;0
4823006703;"ПАО ""НЛМК""";nlmk.shop;;www.nlmk.ru;['НЛМК'];['НОВОЛИПЕЦКИЙ', 'МЕТАЛЛУРГИЧЕСКИЙ'];['ЛИПЕЦК', 'МЕТАЛЛУРГОВ'];[28, 2, 4, 1];[];[0, 0, 0, 0];35;0;0;4;0;0;1;0;0
3525154831;"ПАО ""Вологдаэнергосбыт""";vscenergo.ru;;http://vscenergo.ru;['ВОЛОГДАЭНЕРГОСБЫТ'];['ВОЛОГОДСКАЯ', 'СБЫТОВАЯ'];['ВОЛОГДА', 'ПРЕЧИСТЕНСКАЯ'];[];[];[];0;0;0;0;0;0;0;0;0
7841322249;"АО ""Петербургская сбытовая компания""";pesc.ru;pesc.ru;www.pesc.ru;['ПЕТЕРБУРГСКАЯ', 'СБЫТОВАЯ'];[];['САНКТ-ПЕТЕРБУРГ', 'МИХАЙЛОВА'];[13, 0, 3, 1];[];[13, 0, 3, 1];17;0;17;3;0;3;1;0;1
2466132221;"ПАО ""Красноярскэнергосбыт""";krsk-sbit.ru;krsk-sbit.ru;lacanto.ru;['КРАСНОЯРСКЭНЕРГОСБЫТ'];[];['КРАСНОЯРСК', 'ДУБРОВИНСКОГО'];[20, 0, 26, 1];[];[];47;0;0;26;0;0;1;0;0
7534018889;"ПАО ""ТГК-14""";tgk-14.com;tgk-14.com;www.alphacompro.ru;['ТГК-14'];['ТЕРРИТОРИАЛЬНАЯ', 'ГЕНЕРИРУЮЩАЯ'];['ЧИТА', 'ЛАЗО'];[29, 4, 3, 0];[];[];36;0;0;3;0;0;0;0;0
2128701733;"ОАО ""ТГК-5""";energybase.ru;;#Н/Д;['ТГК-5'];[];[];[0, 0, 0, 0];[];[];0;0;0;0;0;0;0;0;0
