INN;Name;Site
1326192645;"ПАО ""Мордовская энергосбытовая компания""";mesk.ru
7451213318;"ПАО ""Челябэнергосбыт""";www.mrsk-ural.ru
7805060502;"ЗАО ""КировТЭК""";kirovtek.ru
5260148520;"ПАО ""ТНС энерго НН""";nn.tns-e.ru
5904123809;"ПАО ""Пермэнергосбыт""";permenergosbyt.ru
7017114680;"ПАО ""Томскэнергосбыт""";ensb.tomsk.ru
7736520080;"АО ""Мосэнергосбыт""";lkkbyt.mosenergosbyt.ru
8602067215;"АО ""Газпром энергосбыт Тюмень""";gesbt.ru
5612042824;"АО ""ЭнергосбыТ Плюс""";oren.esplus.ru
541031172;"ПАО ""Дагестанская энергосбытовая компания""";dag-esk.ru
5030040730;"ООО ""ЛУКОЙЛ-ЭНЕРГОСЕРВИС""";eservice.lukoil.ru
4823006703;"ПАО ""НЛМК""";nlmk.shop
7841322249;"АО ""Петербургская сбытовая компания""";pesc.ru
2466132221;"ПАО ""Красноярскэнергосбыт""";krsk-sbit.ru
7841312071;"ПАО ""ТГК-1""";tgc1.ru
2320109650;"ОАО ""Сочинская ТЭС""";irao-generation.ru
7706525041;"ООО ""РН-Энерго""";rn-energo.ru
7536066430;"АО ""Читаэнергосбыт""";e-sbyt.ru
814166090;"АО ""Калмэнергосбыт""";gp-kes.ru
7706288496;"ООО ""РУСЭНЕРГОРЕСУРС""";rusenres.ru
2460066196;"ОАО ""ГидроОГК""";mc.rushydro.ru
7704550388;"ООО ""Межрегионсбыт""";mrsb.ru
4211016825;"ООО ""Энергосбытовая компания ""Энергосервис""";gisee.ru
8602067092;"ПАО ""Юнипро""";unipro.energy
1101301856;"АО ""Коми энергосбытовая компания""";komiesc.ru
2308119595;"ПАО ""ТНС энерго Кубань""";kuban.tns-e.ru
2224103849;"АО ""Алтайэнергосбыт""";altaiensb.com
1233213213;"ОАО ""СибирьЭнерго""";sibir-energo.ru
7706627050;"АО ""Мобильные ГТЭС""";mobilegtes.ru
3328424479;"ООО ""РКС-энерго""";rks-energo.ru
1434031363;"АО ""ДГК""";dvgk.ru
1902014500;"АО ""РУСАЛ Саяногорск""";energo.rusal.ru/AboutCompany.aspx?saz
7725571452;"ООО ""ГлавЭнергоСбыт""";главэнергосбыт.рф
1901067718;"АО ""Енисейская ТГК (ТГК-13)""";sibgenco.ru/companies/eniseyskaya-tgk-tgk-13/
7727276526;"АО ""Сибурэнергоменеджмент""";sibur.ru/siburenergomanagment/
1701040660;"АО ""Тываэнергосбыт""";tuvaensb.ru
4028033356;"ООО ""Каскад-Энергосбыт""";kaskadenergosbyt.ru
7705750968;"АО ""Газпром энергосбыт""";gazpromenergosbyt.ru
2221008019;"АО ""Барнаульская горэлектросеть""";bges.ru
6672249198;"ООО ""Сбытовая компания ""Розторгэнерго""";pesc.ru
4407007293;"ООО ""Инициатива ЭСК""";kronoenergo.ru
6454074036;"ООО ""СПГЭС""";spges.ru
6658139683;"ОАО ""Екатеринбургская электросетевая компания""";eesk.ru
2624000319;"МУП г.Буденновска ""Горэлектросеть""";budenergosbyt.ru
5610095517;"АО ""Оренбургсельэнергосбыт""";orenses.ru
1328904496;"ООО ""Ватт-Электросбыт""";skwes.com
7116127560;"ООО ""НЭСК""";nesk.ru
3808166404;"ООО ""Иркутскэнергосбыт""";sbyt.irkutskenergo.ru
2632047085;"ГУП СК ""Ставрополькоммунэлектро""";ske.ru
7116146467;"ООО ""ЕвроХим-Энерго""";energo.corp.eurochem.ru
2320109650;"ПАО ""Интер РАО""";interrao.ru
8620018330;"АО ""Нижневартовская ГРЭС""";irao-generation.ru
2460066195;"ПАО ""РусГидро""";rushydro.ru
7024029499;"АО ""СХК""";atomsib.ru
1657036630;"АО ""Татэнерго""";tatgencom.ru
6316138990;"АО ""СамГЭС""";samges.ru
1901064509;"ООО ""Абаканэнергосбыт""";abakanenergo.ru
3802010714;"АО ""Витимэнергосбыт""";vitimenergosbyt.ru
2446000322;"АО ""Красноярская ГЭС""";kges.ru
7743628060;"ОАО ""Мосгорэнерго""";mosgorenergo.ru
5107910347;"ООО ""Арктик-энерго""";arctic-energo.ru
7709782777;"ООО ""ГАРАНТ ЭНЕРГО""";garant-energo.pro
1833045576;"ООО ""Промэнергосбыт""";promenergosbyt.com
5029087589;"АО ""Электросеть""";zaoelektroset.ru
5016013300;"МУП ""Ивантеевские Электросети""";ivseti.org/kontakty
3803100054;"ПАО ""РУСАЛ Братск""";braz-rusal.ru
5018054863;"АО ""Королевская электросеть СК""";kensbyt.ru
5017034511;"МУП ""Объединение Истринские электросети""";istraseti.ru
2465115953;"ООО ""РУСЭНЕРГОСБЫТ СИБИРЬ""";rusenergosib.ru
8603109926;"ООО ""НЭСКО""";nesko-nv.ru
1657082308;"АО ""Татэнергосбыт""";tatenergosbyt.ru
8905037499;"ООО ""Ноябрьская ПГЭ""";нпгэ.рф
3016059510;"ООО ""ЛУКОЙЛ-Астраханьэнерго""";astrahanenergo.lukoil.ru
3435098928;"ООО ""ЛУКОЙЛ-Волгоградэнерго""";volgogradenergo.lukoil.ru
2312159262;"ООО ""ЛУКОЙЛ-Кубаньэнерго""";kubanenergo.lukoil.ru
6164288981;"ООО ""ЛУКОЙЛ-Ростовэнерго""";rostovenergo.lukoil.ru
6671156425;"ПАО ""Энел Россия""";enelrussia.ru
3123200083;"АО ""Первая сбытовая компания""";pskenergo.ru
7721632827;"АО ""Концерн Росэнергоатом""";http://www.rosatom.ru
2635116509;"АО ""Монокристалл""";monocrystal.ru
3604016496;"МУП ""БЭСО"" Борисоглебского городского округа Воронежской области";бэсо.рф
3528000597;"ОАО ""Северсталь""";market.severstal.com
7111017002;"ООО ""Алексинэнергосбыт""";al-ensb.ru
7105037307;"АО ""ТНС энерго Тула""";tula.tns-e.ru
5046065560;"МУП ""Троицкая электросеть""";trelset.ru
6155043551;"ООО ""Шахтинская ГТЭС""";shakhty-energy.ru
6321211371;"АО ""ТЭК""";tek63.ru
5018141474;"ЗАО ""Королёвская электросеть СК""";kensbyt.ru
1655189422;"АО ""ТГК-16""";tgc16.ru
1651057954;"ООО ""Нижнекамская ТЭЦ""";nktec.tatneft.ru
2631054273;"АО ""Горэлектросеть"" (г.Невинномысск)";nevges.ru
3443062227;"ООО ""Волгоградоблэлектросбыт""";voes.ru
7703552167;"ООО ""Транснефтьэнерго""";transneftenergo.transneft.ru
8602153048;"ООО ""Сургутэнергосбыт""";surgutenergosbyt.ru
2224132840;"АО ""Алтайкрайэнерго""";altke.ru
5254081010;"АО ""Обеспечение РФЯЦ-ВНИИЭФ""";obespechenie-vniief.ru
2124009521;"ПАО ""Химпром""";himprom.com
2205010540;"ООО ""Заринская горэлектросеть""";zges22.ru
3015087458;"ООО ""ЛУКОЙЛ-Экоэнерго""";ekoenergo.lukoil.ru
545019120;"ООО ""Каспэнергосбыт""";каспэнергосбыт.рф
2204052762;"АО ""Бийскэнерго""";old.sibgenco.ru
7703599239;"ООО ""ЭНЕРГОСБЫТХОЛДИНГ""";enholding.ru
570006131;"ООО ""Дагестанэнерго""";dagtec.ru
5405270340;"АО ""СИБЭКО""";sibgenco.ru/companies/ao-sibeko/
2420002597;"ПАО ""Богучанская ГЭС""";boges.ru
3525014344;"ГЭП ""Вологдаоблкоммунэнерго""";voce.ru
6658038117;"ЗАО Межотраслевой концерн ""Уралметпром""";уралметпром.рф
2624033219;"ООО ""ЛУКОЙЛ-Ставропольэнерго""";stavropolenergo.lukoil.ru
5048024231;"ООО ""ВН-Энерготрейд""";vn-energotrade.ru
5754020600;"ООО ""Орловский энергосбыт""";interrao-orel.ru
7704784450;"АО ""Интер РАО - Электрогенерация""";irao-generation.ru
7704726225;"ОАО ""Оборонэнерго""";oboronenergo.su
3908600865;"АО ""Янтарьэнергосбыт""";yantarenergosbyt.ru
1834051678;"ООО ""ЛАДА Ижевск""";ladaizhevsk.ru
5407025576;"АО ""Новосибирскэнергосбыт""";nskes.ru
6658084667;"ООО ""ВИЗ-Сталь""";viz.nlmk.com/ru/
7817312063;"АО ""ГСР ТЭЦ""";gsrenergy.ru
7840346335;"АО ""Группа ""Илим""";ilimgroup.ru
1004001744;"АО ""Карельский окатыш""";karelskyokatysh.severstal.com
1658008723;"ПАО ""Казаньоргсинтез""";kazanorgsintez.ru
5834038427;"ООО ""Маяк-Энергосервис""";mayakenergo.ru
7706704202;"ООО ""ЭнергоЭффективность""";energo-ef.com
7729677594;"ООО ""КНАУФ ЭНЕРГИЯ""";knaufenergy.ru
2308138781;"ООО ""КЭС"" (г.Краснодар)";kes-krd.ru
2624801220;"ОАО ""Будённовскэнергосбыт""";budenergosbyt.ru
5913001268;"ПАО ""Метафракс""";metafrax.ru
7817309342;"ЗАО ""Ижора-Энергосбыт""";izora-energo.ru
6452913663;"ООО ""Электросбыт""";elsbit.ru
2722080626;"АО ""ННК-Энерго""";nnk-energo.com
6901067107;"ПАО ""МРСК Центра"" (г.Москва)";mrsk-1.ru
5260200603;"ПАО ""МРСК Центра и Приволжья"" ";mrsk-cp.ru
2460069527;"ПАО ""МРСК Сибири""";mrsk-sib.ru
6664013880;"ОАО ""Уралхиммаш""";ekb.ru
4205140782;"ООО ""ЭСКК""";eskk.ru
7611020204;"АО ""Тутаевская ПГУ""";yargk.ru
6623025131;"ООО ""УВЗ-ЭНЕРГО""";увз-энерго.рф
7703728269;"ООО ""Центрэнерго""";centrenergo.ru
7840447460;"ООО ""РАЗВИТИЕ И ИНВЕСТИЦИИ""";DevInv.ru
275075272;"ООО ""Энергосбытовая компания""";ensbcom.ru
7705541227;"ПАО ГК ""ТНС энерго""";corp.tns-e.ru
5103065898;"ООО ""ХЭСК""";hesc.ru
7719284001;"ООО ""РОСМИКС""";rosmiks.com
3702597104;"АО ""Водоканал""";vodo-kanal.ru
7817311895;"АО ""АЭМ-технологии""";aemtech.ru
5036118291;"АО ""ВетроОГК""";novawind.ru
6906011179;"ООО ""Тверская генерация""";tvgen.ru
7717654909;"АО ""Межрегиональная энергосбытовая компания""";mresc.pro
7702743761;"ООО ""ТНС энерго Пенза""";penza.tns-e.ru
7715825806;"ООО ""ТНС энерго Великий Новгород""";novgorod.tns-e.ru
4250003450;"ООО ХК ""СДС-Энерго""";sdsenergo.ru
7804488479;"ООО ""ЭСК ""ЭСКО""";eskesco.ru
7731411714;"ООО ""Трансэнергопром""";transenprom.ru
7719019846;"ПАО ""Передвижная энергетика""";передвижная-энергетика.рф
7810786145;"ООО ""Энергетическая компания ""СТИ""";ek-sti.ru
7802849641;"ООО ""Пивоваренная компания ""Балтика""";corporate.baltika.ru
7715887873;"ООО ""Энергосистема""";en-msk.ru
6825005970;"ООО ""Котовская ТЭЦ""";ktec-energo.ru
3241504722;"ООО ""Клинцовская ТЭЦ""";ccs-group.ru/?page_id=806
6726018979;"ООО ""Дорогобужская ТЭЦ""";dor-tec.ru
3123205772;"ООО ""АльтЭнерго""";altenergo.su
7728872602;"ООО ""Солар Системс""";solarsystems.msk.ru
7703806647;"АО ""ГТ Энерго""";gtenergo.ru
7118506482;"ООО ""Щекинская ГРЭС""";s-gres.ru
5261082487;"ООО ""НижегородЭнергоТрейд""";net-52.ru
7801606237;"ООО ""МЭК"" (г.Кондопога)";mek.spb.ru/contact.html
4401144416;"ООО ""РУСЭНЕРГО""";rusenergo.moscow
3525256079;"ООО ""ЭлТА""";http://el-transit.ru
4632168044;"ООО ""Курская ТСК""";quadra.ru/klientam/filialy-i-do/ooo-kurskaya-tsk/
4205250834;"ООО ""ЭнергоРесурс""";energoresurs.su
7722781966;"ООО ""Энергопромсбыт""";energopromsbyt.ru
2016081143;"АО ""Чеченэнерго""";chechenergo.ru
2632094529;"АО ""ЮМЭК""";umek.su
1644057544;"ООО ""ТН-Энергосбыт""";energosbyt.tatneft.ru/kontakti?lang=ru
7017373959;"АО ""Томская генерация""";energo.tom.ru
7705429930;"Ассоциация ""НП Совет рынка""";np-sr.ru
7706697347;"АО ""ЕвроСибЭнерго""";eurosib.ru
7703391618;"ООО ""Сан Проджектс""";solarsystems.msk.ru/information/
7810348720;"ООО ""СКВ""";skvcompany.com
3110009570;"ЗАО ""СК Короча""";miratorg.ru
2632082033;"ПАО ""МРСК Северного Кавказа""";rossetisk.ru
3123367220;"ООО ""СбытЭнерго"" (г.Белгород)";sbyt-energo.ru/kontakty/
5249105233;"ООО ""Синтез Энерго-Ресурс""";sintezenergoresurs.ru
3663071315;"ООО ""Воронежсбыт""";voronezh.tizu.ru/company/477100/
7703414801;"ООО ""Сан Проджектс 2""";solarsystems.msk.ru/information/
3435126710;"ООО ""Тепловая генерация г. Волжского""";tgv34.ru
7701366905;"ООО ""ЭСК ""Лидер""";esk-lider.ru
7206025040;"ООО ""СИБУР Тобольск""";sibur.ru/siburtobolsk/
9102070194;"АО ""КРЫМТЭЦ""";krimtec.ru
6143088300;"ООО ""Волгодонская тепловая генерация""";volgodonsk-tg.ru
9203500799;"ООО ""СГС ПЛЮС""";sgsplus.ru
6164266561;"ПАО ""МРСК Юга""";mrsk-yuga.ru
3702736140;"АО ""Солнечный ветер""";tplusgroup.ru
5024173259;"ООО ""ЕЭС-Гарант""";ies-garant.ru
7729663922;"ООО ""РТ-Энерго""";rtenergy.ru
917031779;"ООО ""Южэнергострой""";южэнергострой.рф
266029390;"ООО ""НСТЭЦ""";nslvtec.ru
7704440018;"ООО ""ЭСВ""";esbvolga.ru
7706284445;"ООО ""ЭНЕРГОПРОМСБЫТ""";energopromsbyt.ru
7204084481;"АО ""Антипинский НПЗ""";annpz.ru
8901030855;"АО ""Салехардэнерго""";slenergo.ru
7703435054;"ООО ""Энергия ветра""";sev.ru
6671163413;"ОАО ""МРСК Урала""";mrsk-ural.ru
7706757331;"АО ""ОТЭК""";oao-otek.ru
9701098248;"АО ""ВетроОГК-2""";novawind.ru/disclosure/vetroogk2/
7604193710;"ООО ""ТГК-2 Энергосбыт""";tgc2-energo.ru
5024170498;"ООО ""Регионы-Энерго""";regionsenergo.ru
7703438009;"ООО ""Первый Ветропарк ФРВ""";vetroparki.ru
2411021106;"ООО ""Энерговыбор-Сибирь""";ooo-energovyborsibir.russia-opt.com
1433015048;"АО ""Вилюйская ГЭС-3""";shpp.ru
7453313477;"ООО ""Уралэнергосбыт""";uralsbyt.ru
3109004440;"ООО ""Мираторг-Энерго""";miratorg.ru/ooo-miratorg-energo/
2334024237;"ООО ""Южная энергосбытовая компания""";kubanusk.ru
7703471447;"ООО ""Новая энергия""";gen-newenergy.ru
7725567512;"ООО ""МСК Энерго""";msk-energo.ru
7708341064;"ООО ""ЭнергоПрофит""";enprofit.ru
1701041247;"АО ""Кызылская ТЭЦ""";kyzyl-tec.ru
3435701575;"ООО ""Овощевод""";botanika-only.ru
2311161607;"ООО ""КНГК-Энерго""";kngk-energo.ru
